file,attempt,concept_1_read,concept_2_idea,concept_5_brand,concept_6_send,concept_7_unique,r1_read,r2_idea,r3_craft,r4_smooth_loop,r5_brand,r6_send,r7_unique,render_sum,status,history
01-pill-x,1,5,5,5,4,5,5 (к.0 ⊗ на 24px),"5 (к.32 присед, к.89 посадка 720)","4 (к.89 109/90, досадка 2)","5 (шов 0, ребро 3f)","5 (X лого, блик к.116)",4 («закинулся»),5 (прыжок+720 один),33,PASS,v2 без правок
44-cross-amen,1,4,5,5,4,5,4 (к.60 крест X·XTC·C),"5 (к.0-28 сборка, к.52-120 360)","4 (back-сборка, stagger 3f)",5 (шов 0),5 (логотип-крест),4 («аминь» к.124 ✦),5 (сборка из букв одна),32,PASS,v2 без правок
146-cross-xtc,1,4,5,5,5,5,4 (к.0 крест-плашка с лого),5 (к.18-96 360 с торцом),"4 ((0.35,0,0.14,1))",5 (шов 0),5 (логотип-крест насквозь),5 («наш крест»),5 (прорези лого в кресте),33,PASS,"v3.4: плашка толще, прорези с полем"
144-cross-pendant,1,4,4,5,4,5,4 (к.0 готический крест на цепи),4 (маятник + разворот ребром на пиках),4 (затухание 4 полупериода),5 (шов 0),"5 (крест, X на обороте)",4 («крест»),5 (подвеска-маятник),31,PASS,"v3.4: лепестки убраны, латинская пропорция"
28-tribal-cross,2,5,4,5,4,4,5 (к.0 готический крест),4 (сбор в центр → выстрел),4 (stagger 5f),5 (шов 0),5 (готика v1),4 («аминь»),4 (сжатие-выстрел),31,PASS,v3.1 RESTORE
136-flash,1,4,5,5,4,5,4 (к.0 карточка с лого),5 (к.36-39 негатив),"4 (дрожь рук wave, пережог 106%)",5 (шов 0 (периоды 50/75/30)),"5 (паркинг-вспышка, крест-лого)",4 («щёлк»),5 (негатив на 3 кадра),32,PASS,новый v3 (вместо 91-zap)
50-soldout-tee,1,4,5,5,5,5,4 (к.60 лонг+штамп),5 (к.52 удар штампа),"4 (маятник, дым)",5 (шов 0),5 (лонгслив XTC),5 («всё раскупили»),5 (штамп-матт один),33,PASS,v2 без правок
134-louverse-tank,2,4,4,5,4,5,"4 (к.0 майка, к.100 XTC люверсами)",4 (к.30-66 волна морганий),4 (дыхание ткани 103/101.5),5 (шов 0),5 (louverse tank),4 («майка XTC»),5 (люверсы-глаза моргают волной),31,PASS,новый v3
47-flipclock,1,4,4,5,4,5,4 (к.0 «03» плитки),4 (к.20-92 отсчёт),4 (флап без перекрытий),5 (шов 0),5 (таймер дропа),4 (к.92 «00»),5 (обратный отсчёт один),31,PASS,v2 без правок
49-board-drop,2,4,4,5,5,4,4 (к.60 DR/OP),"4 (плитки из пустых волной, удар «дроп»)","4 (толчок 102/97, присед 104/94)",5 (шов 0 (гаснут в конце)),5 (закреп-табло DROP),5 («дроп»),4 (табло-волна),31,PASS,v3.13: DROP NOW разбит на два по просьбе клиента
162-board-now,1,4,5,5,5,4,4 (к.60 NO/W!),5 (к.84-106 рывок вверх),4 (jitter → растяжка → посадка),5 (шов 0),5 (закреп-табло NOW),5 («сейчас»),4 (табло-взлёт),32,PASS,v3.13: из 49
131-tile-x,1,5,4,5,4,4,5 (к.0 X плитка),4 (к.40/76 флап в пустую и назад),"4 (флап 12f, толчок табло)",5 (шов 0),5 (плитка закрепа),4 (подряд с T C = табло),4 (пазл из трёх),31,PASS,новый v3 (пазл)
132-tile-t,1,5,4,5,4,4,5 (к.0 T плитка),4 (к.40/76 синхронно с X),4 (флап 12f),5 (шов 0),5 (плитка закрепа),4 (подряд с X C),4 (пазл из трёх),31,PASS,новый v3 (пазл)
